Kosa Kata,Arti Kata
frontal bone,Tulang tengkorak besar yang membentuk bagian atas kepala dan dahi.
frontal lobe,Salah satu dari empat bagian setiap belahan otak besar.
frontal plane,Garis imajiner yang membagi tubuh menjadi posisi anterior dan posterior.
frontal sinuses,Sinus di atas mata.
fulguration {fulguración},Penghancuran jaringan dengan menggunakan percikan listrik atau arus frekuensi tinggi.
full,Lengkap (gigi palsu).
fundus {fondo},Bagian atas rahim; bagian atas perut.
fungating,Tumbuh dengan pola seperti jamur.
furuncle {furúnculo},"Infeksi kulit terlokalisasi, biasanya pada folikel rambut dan berisi nanah; mendidih."
gait {marcha},Cara berjalan.
gallbladder {vesícula biliar},Organ di permukaan bawah hati; menyimpan empedu.
gallop {galope},"Suara detak jantung tiga kali lipat, biasanya menunjukkan penyakit jantung yang serius."
gallstones {cálculo biliar},Kalkulus di kantong empedu.
gamete {gameto},Sel kelamin; lihat sel telur.
gamma globulin,1. Globulin yang muncul di jaringan limfatik dan berfungsi sebagai bagian dari sistem kekebalan tubuh. 2. Antibodi diber
gamma rays,Partikel radioaktif yang umum digunakan dengan kemampuan penetrasi yang tinggi.
gangliitis {ganglitis},Peradangan ganglion.
"ganglion (pl., ganglia, ganglions) {ganglion}",Setiap kelompok badan sel saraf yang membentuk massa atau kista di sistem saraf tepi; biasanya terbentuk di pergelangan
gangrene {gangrena},"Kematian suatu area kulit, biasanya disebabkan oleh hilangnya suplai darah ke area tersebut."
gastrectomy {gastrectomia},Pengangkatan sebagian atau seluruh perut.
gastric bypass,Lihat reseksi lambung.
gastric resection or gastric bypass,Pengangkatan bagian perut dan perbaikan bagian yang tersisa.
gastritis {gastritis},Radang lambung.
gastroenteritis {gastroenteritis},Radang lambung dan usus kecil.
gastroscopy {gastrocopia},Pemeriksaan lambung menggunakan endoskopi.
gene therapy,Metode pengobatan menggunakan sel yang diubah secara genetik untuk menyembuhkan atau mengurangi gejala penyakit.
generic {genérico},Versi singkat dari nama kimia.
genetics,Ilmu pewarisan biologis.
geriatric,Atau berkaitan dengan usia tua.
gerontology,Spesialisasi medis yang mendiagnosis dan mengobati gangguan pada usia tua.
gestation {gestación},Masa perkembangan janin dari pembuahan sampai melahirkan; biasanya sekitar 40 minggu.
gigantism {gigantismo},Pertumbuhan yang sangat cepat dan besar yang disebabkan oleh hipersekresi hormon pertumbuhan.
gingivae,Gusi.
gingivitis,Radang gusi.
gland {glándula},Setiap massa jaringan yang terorganisir yang mengeluarkan atau mengeluarkan zat.
glans penis,Area sensitif di ujung penis.
glaucoma {glaucoma},Berbagai penyakit yang disebabkan oleh tekanan mata tinggi yang tidak normal.
glioblastoma multiforme,Jenis glioma paling ganas.
glioma {glioma},Tumor yang muncul dari neuroglia.
globin {globina},"Molekul protein; di dalam darah, bagian dari hemoglobin."
globulin {globulina},Salah satu keluarga protein dalam plasma darah.
glomerulonephritis,Radang glomeruli ginjal.
"glomerulus (pl., glomuleri) {glomérulo}",Kelompok kapiler di nefron.
glossectomy,Pengangkatan lidah.
glossitis {glositis},Radang lidah.
glossorrhaphy,Jahitan lidah.
glottis {glotis},Bagian laring terdiri dari pita suara selaput lendir dan otot.
glucagon {glucagon},Hormon yang dikeluarkan oleh pankreas untuk meningkatkan gula darah.
glucocorticoids,Hormon dilepaskan oleh korteks adrenal.
glucose {glucosa},Bentuk gula yang ditemukan di dalam darah; dapat mengindikasikan diabetes bila ditemukan dalam urin; gula ditemukan di b
glucose tolerance test (GTT),"Tes darah untuk kemampuan tubuh memetabolisme karbohidrat; diminum setelah puasa 12 jam, kemudian diulangi setiap jam se"
glucosuria,Glukosa dalam urin.
glycated hemoglobin,Tes darah untuk mengetahui rata-rata kadar glukosa selama 2-3 bulan sebelumnya.
glycogen {glucógeno},Glukosa yang diubah disimpan di hati untuk digunakan di masa mendatang; pati yang dapat diubah menjadi glukosa.
glycosuria,Glukosa dalam urin.
goiter {bocio},Pembesaran kelenjar tiroid yang tidak normal akibat aktivitas yang berlebihan atau kekurangan yodium dalam makanan.
gonad {gónada},Organ kelamin pria atau wanita; lihat ovarium.
goniometer {goniómetro},Instrumen yang mengukur sudut atau rentang gerak dalam suatu sambungan.
gonorrhea {gonorrea},Peradangan selaput kelamin yang ditularkan secara seksual.
"gouty arthritis, gout","Radang sendi, hadir pada asam urat; biasanya disebabkan oleh kristal asam urat."
graafian follicle,Folikel di ovarium yang menahan oosit selama perkembangan dan kemudian melepaskannya.
grade,Kematangan tumor.
graft,Setiap jaringan atau organ yang ditanamkan untuk mengganti atau memperbaiki area yang rusak.
grand mal seizure,Lihat kejang tonik-klonik.
granulocyte,Leukosit dengan sitoplasma granular.
granulocytosis {granulocitosis},Kondisi dengan jumlah granulosit yang tidak normal dalam aliran darah.
Graves' disease,Kelebihan kelenjar tiroid.
gravida {grávida},Wanita hamil.
gray (gy),Satuan ukuran sama dengan 100 rad.
greenstick fracture,Fraktur dengan tulang terpuntir atau bengkok tetapi tidak patah; biasanya terjadi pada anak-anak.
group therapy,Terapi bicara di bawah kepemimpinan psikoterapis di mana anggota kelompok mendiskusikan perasaan mereka dan mencoba untu
growth hormone (GH),Hormon dilepaskan oleh hipofisis anterior.
gums {encía},Jaringan fibrosa padat yang membentuk penutup pelindung di sekitar soket dan bagian garis rahang di dalam rongga mulut;
gynecologist {ginecólogo},Spesialis yang mendiagnosis dan menangani proses dan gangguan pada sistem reproduksi wanita.
"gyrus (pl., gyri) {circunvolución}",Lihat konvolusi.
hair follicle,Kantung seperti tabung di dermis tempat batang rambut berkembang.
hair root {raiz de pelo},Porsi rambut di bawah permukaan kulit.
hair shaft,Porsi rambut terlihat di atas permukaan kulit.
hairline fracture,Fraktur tanpa pemisahan atau fragmentasi tulang.
halitosis {halitosis},Bau mulut yang tidak sedap.
hard palate,Bagian anterior yang keras dari langit-langit mulut di atap mulut; pengerasan arteri.
hearing {audición},Kemampuan untuk merasakan suara.
heart {corazón},Organ otot yang menerima darah dari vena dan mengirimkannya ke arteri.
heart block,Lihat blok atrioventrikular.
heart transplant,Implantasi hati seseorang yang baru saja meninggal ke dalam orang yang penyakit jantungnya tidak dapat menopang kehidupa
heel {talon},"Punggung, bagian kaki yang membulat."
helper cell,Sel T yang menstimulasi respon imun.
hematemesis {hematemesis},Darah dalam muntahan.
hematochezia,Darah merah di tinja.
hematocrit {hematócrito},Mengukur persentase sel darah merah dalam sampel darah.
hematocytoblast {hematocitoblasto},Sebagian besar sel darah belum matang.
hematuria {hematuria},Darah dalam urin.
heme,Pigmen yang mengandung zat besi dalam hemoglobin.
hemochromatosis,Kondisi keturunan dengan penumpukan zat besi yang berlebihan di dalam darah.
hemodialysis {hemodiálisis},Dialisis dilakukan dengan mengalirkan darah melalui saringan ke luar tubuh dan mengembalikan darah yang disaring ke tubu
hemoglobin {hemoglobina},Protein dalam sel darah merah penting untuk pengangkutan oksigen.
hemolysis {hemolisis},Gangguan dengan kerusakan membran sel darah merah.
hemophilia {hemofilia},Gangguan keturunan dengan kurangnya faktor pembekuan dalam darah.
hemoptysis,Perdarahan paru-paru atau bronkial yang mengakibatkan darah meludah.
hemorrhagic stroke,Stroke yang disebabkan oleh darah yang keluar dari arteri serebral yang rusak.
hemorrhoidectomy {hemorroidectomía},Operasi pengangkatan wasir.
hemorrhoids {hemorroides},Kondisi varises di daerah anus; vena bengkak dan bengkok di anus.
hemostatic,Agen yang menghentikan pendarahan.
hemothorax {hemotórax},Darah di rongga pleura.
heparin {heparina},"Antikoagulan hadir di dalam tubuh; juga, versi sintetis diberikan untuk mencegah pembekuan; zat dalam darah yang mencega"
hepatic lobectomy,Pengangkatan satu atau lebih lobus hati.
hepatitis {hepatitis},Peradangan atau penyakit hati.
hepatomegaly {hepatomegalia},Hati membesar.
hepatopathy {hepatopatía},Penyakit hati.
hernia {hernia},Penonjolan jaringan yang tidak normal melalui otot yang mengandungnya.
herniated disk,Penonjolan diskus intervertebralis ke dalam saluran saraf.
herpes {herpes},Penyakit kulit inflamasi yang disebabkan oleh virus dari famili Herpesviridae.
herpes simplex virus Type 1,"Herpes yang muncul kembali di bibir dan di sekitar area mulut, biasanya selama penyakit virus atau keadaan stres."
herpes simplex virus Type 2,Herpes yang berulang di alat kelamin; dapat dengan mudah ditularkan dari satu orang ke orang lain melalui kontak seksual
herpes zoster,Herpes nyeri yang mempengaruhi akar saraf; herpes zoster.
heterograft {heterinjerto},Cangkok kulit menggunakan kulit donor dari satu spesies ke spesies lainnya; xenograft.dll
heteroplasia,Displasia.
hiatal hernia,Penonjolan perut melalui lubang di diafragma.
high blood pressure {presión arterial alta},Lihat hipertensi.
hilum (also hilus) {hilio},1. Bagian ginjal tempat masuk dan keluarnya pembuluh darah dan saraf. 2. Bagian tengah paru-paru tempat masuk dan keluar
hirsutism {hirsutismo},Pertumbuhan rambut tidak normal akibat kelebihan androgen.
histamine {histamine},Zat yang dilepaskan oleh basofil dan eosinofil; terlibat dalam reaksi alergi.
histiocytic lymphoma,Limfoma dengan sel ganas yang menyerupai histiosit.
hives {urticaria},Lihat urtikaria.
"Hodgkin's lymphoma, Hodgkin's disease",Jenis kanker getah bening yang asalnya tidak pasti yang umumnya muncul pada masa dewasa awal.
Holter monitor,Perangkat portabel yang menyediakan elektrokardiogram 24 jam.
homeopathic medicine,Sistem medis yang menggunakan dosis zat yang diencerkan untuk merangsang kekebalan.
homograft {homoinjerto},Cangkok kulit menggunakan kulit donor dari satu orang ke orang lain; allograft.dll
hordeolum {orzuelo},Infeksi kelenjar sebaceous pada kelopak mata; tembel.
hormone {hormona},Sekresi kimiawi dari kelenjar seperti ovarium; zat yang disekresikan oleh kelenjar dan dibawa dalam aliran darah ke berb
hormone replacement therapy (HRT),Pengobatan dengan hormon ketika tubuh menghentikan atau menurunkan produksi hormon dengan sendirinya; menelan hormon unt
human growth hormone (HCG),Zat yang terjadi secara alami di dalam tubuh yang mendorong pertumbuhan; zat hasil sintesis yang memiliki fungsi yang sa
human immunodeficiency virus (HIV),"Virus penyebab AIDS; menyebar melalui kontak seksual dan pertukaran cairan tubuh, dan penggunaan jarum suntik bersama."
humerus {húmero},Tulang lengan panjang menghubungkan ke tulang belikat di atas dan jari-jari serta ulna di bawah.
humoral immunity,Resistensi terhadap penyakit yang diberikan oleh sel plasma dan produksi antibodi.
Huntington's chorea,Gangguan keturunan dengan gerakan menyentak yang tidak terkendali.
hydrocele {hidrocele},Hernia testis yang mengandung cairan.
hydrocephalus {hidrocefalia},Kelebihan cairan di otak.
hydronephrosis,Pengumpulan urin yang tidak normal di ginjal karena penyumbatan.
hymen {himen},Lipatan selaput lendir yang menutupi vagina wanita muda; biasanya pecah saat hubungan seksual pertama.
hyperadrenalism,Kelebihan kelenjar adrenal.
hyperbilirubinemia,Bilirubin yang berlebihan di dalam darah.
hypercapnia,"Penumpukan karbon dioksida yang berlebihan di paru-paru, biasanya berhubungan dengan hipoventilasi."
hyperchromatic,Berwarna intens.
hyperopia,Fokus di belakang retina menyebabkan distorsi penglihatan; rabun dekat.
hyperparathyroidism {hiperparatiroidismo},Kelenjar paratiroid yang terlalu aktif.
hyperplastic,Berlebihan dalam perkembangan (sel).
hyperpnea,Nafas dalam yang tidak normal.
hypersecretion,"Sekresi tinggi yang tidak normal, seperti dari kelenjar."
hypersensitivity {hipersensibilidad},Reaksi abnormal terhadap alergen.
hypersplenism,Limpa terlalu aktif.
hypertension,Kondisi kronis dengan tekanan darah lebih dari 140/90.
hypertensive heart disease,"Penyakit jantung yang disebabkan, atau diperburuk, oleh tekanan darah tinggi."
hyperthyroidism {hipertiroidismo},Kelebihan kelenjar tiroid.
hypertrophy,Peningkatan abnormal seperti pada ukuran otot.
hyperventilation {hiperventilación},"Nafas masuk dan keluar cepat yang tidak normal, sering dikaitkan dengan kecemasan."
hypnosis,Kondisi setengah sadar.
hypnotic,Agen yang menyebabkan tidur.
hypoadrenalism {hipoadrenalismo},Kurang aktifnya kelenjar adrenal.
hypochondria,Kondisi keasyikan dengan membayangkan penyakit di tubuh pasien.
hypochondriac regions,Daerah kiri dan kanan tubuh tepat di bawah tulang rawan tulang rusuk dan tepat di atas perut.
hypodermis {hipodermis},Lapisan kulit subkutan; lapisan di bawah dermis.
hypogastric region,Area tubuh tepat di bawah daerah pusar.
hypoglycemia {hypoglucemia},Kadar glukosa dalam darah sangat rendah.
hypoglycemic {hipoglucémico},Agen yang menurunkan glukosa darah.
hypoparathyroidism {hipoparatiroidismo},Kelenjar paratiroid kurang aktif.
hypopharynx {hipofaringe},Laringofaring.
hypophysectomy,Pengangkatan kelenjar pituitari.
hypophysis {hipófisis},Kelenjar di bawah otak.
hypoplastic,"Tertinggal, sebagai jaringan."
hypopnea,Nafas dangkal.
hyposecretion,"Sekresi sangat rendah, seperti dari kelenjar."
hypospadias {hipospadias},Cacat lahir dengan pembukaan uretra yang tidak normal di sisi bawah penis.
hypotension {hipotensión},Kondisi kronis dengan tekanan darah di bawah normal.
hypothalamus {hipotálamo},Salah satu bagian diencephalon itu; berfungsi sebagai stasiun pemancar sensorik; kelenjar dalam sistem saraf yang melepa
hypothyroidism {hipotiroidismo},Kurang aktifnya kelenjar tiroid.
hypotonia,Ketegangan otot berkurang secara tidak normal.
hypoventilation {hipoventilación},Pergerakan udara masuk dan keluar paru-paru yang sangat rendah.
hypoxemia {hipoxemia},Jumlah kekurangan oksigen dalam darah.
filling,Amalgam ditempatkan di ruang yang dibor untuk mencegah kerusakan gigi lebih lanjut.
genital herpes,Lihat virus herpes simpleks Tipe 2
hypoxia {hipoxia},Jumlah oksigen yang kurang dalam jaringan.
hysterectomy {histerectomía},Pengangkatan rahim.
hysterosalpingography,Rontgen rahim dan saluran rahim setelah media kontras disuntikkan.
hysteroscopy {histeroscopia},Pemeriksaan rahim menggunakan histeroskop.
icterus {icterus},Penyakit kuning.
ileitis {ileitis},Peradangan ileum.
ileostomy {ileostomía},Penciptaan lubang ke ileum.
ileum {íleon},Bagian bawah usus halus yang terhubung ke usus besar.
ileus {íleo},Penyumbatan usus.
iliac,Daerah Bagian kiri dan kanan tubuh dekat bagian atas tulang pinggul.
ilium {ileum},Porsi lebar tulang pinggul.
imaging,"Produksi keluaran visual menggunakan sinar-x, gelombang suara, atau medan magnet."
immunity {inmunidad},Resistensi terhadap patogen tertentu.
immunization,Vaksinasi.
immunoglobulin {inmunoglobina},Antibodi.
immunosuppressive,Penyakit yang berkembang karena respon imun yang menurun.
impetigo {impétigo},Jenis pioderma. implan 1. Untuk menempel pada dinding rahim pada tahap pertama kehamilan. 2. Gigi pengganti tiruan yang
impotence {impotencia},Ketidakmampuan untuk mempertahankan ereksi saat ejakulasi.
in utero,Di dalam rahim; belum lahir.
incisional,Pengangkatan sebagian tumor untuk pemeriksaan.
incisor,Gigi pertama dan kedua di sebelah median garis rahang. fraktur incomplete Fraktur yang tidak seluruhnya menembus tulang.
incontinence {incontinencia},Ketidakmampuan untuk mencegah ekskresi urin atau feses.
incus {incus},Salah satu dari tiga tulang telinga pendengaran; landasan.
indwelling,Dari jenis kateter yang dimasukkan ke dalam tubuh.
infarct {infarto},Area nekrosis yang disebabkan oleh penurunan suplai darah arteri atau vena secara tiba-tiba.
infarction {infarto},"Penurunan suplai darah arteri atau vena secara tiba-tiba, seringkali karena embolus atau trombus."
infectious mononucleosis,Penyakit infeksi akut yang disebabkan oleh virus Epstein-Barr.
inferior,Di bawah struktur tubuh lain.
inferior lobe,Lobus bawah paru.
inferior vena cava,Vena besar yang menarik darah dari bagian bawah tubuh ke atrium kanan.
infertility {infertilidad},Ketidakmampuan untuk membuahi sel telur.
inflammatory,Memiliki penampilan yang meradang (merah dan bengkak).
infusion,Pemberian cairan melalui tabung intravena dengan kecepatan yang lambat dan stabil.
inguinal,Daerah Bagian kiri dan kanan tubuh dekat bagian atas tulang pinggul.
inhalation {inhalación},1. Menghirup udara. 2. Mengonsumsi obat dalam percikan halus tetesan.
insertion {inserción},Titik di mana otot menempel pada tulang yang bisa digerakkan.
inspiration {inspiración},Inhalasi.
insulin {insulina},Zat yang dikeluarkan oleh pankreas untuk menurunkan gula darah.
insulin-dependent diabetes mellitus (IDDM),Lihat diabetes tipe I.
integument {integumento},Kulit dan semua elemen yang terkandung di dalamnya dan muncul darinya.
integumentary,"Sistem tubuh yang meliputi kulit, rambut, dan kuku."
intercostal muscles,Otot di antara tulang rusuk.
interferon,Protein diproduksi oleh sel T dan sel lainnya; menghancurkan sel penyebab penyakit dengan sifat antivirusnya.
interleukin {interleucina},Protein diproduksi oleh sel T; membantu mengatur sistem kekebalan.
intermittent claudication,"Serangan pincang, terutama di kaki, akibat iskemia otot."
interneuron {interneurona},Neuron yang membawa dan memproses informasi sensorik.
interstitial,Brachytherapy dimana zat radioaktif ditempatkan di dalam jaringan atau tumor.
intervertebral,disk Lihat disk tulang rawan.
intra-arterial,Disuntikkan langsung ke arteri.
intracardiac,Disuntikkan langsung ke otot jantung.
intracardiac,Tumor di dalam salah satu ruang jantung.
intracavitary,Brakiterapi di mana zat radioaktif ditempatkan di rongga dekat lesi kanker.
intracorporeal electrohydraulic lithotripsy,Penggunaan endoskopi untuk memecah batu.
intracutaneous,Disuntikkan tepat di bawah lapisan luar kulit.
intradermal {intradérmico},"Dari dalam kulit, terutama dari dermis; Lihat intrakutan."
intradermal,Tes yang menyuntikkan antigen atau protein di antara lapisan kulit.
intramuscular,Disuntikkan jauh ke dalam jaringan otot.
intraosseus,Disuntikkan langsung ke tulang.
intraspinal,Disuntikkan langsung ke ruang tulang belakang.
intrathecal,Lihat intraspinal.
intrauterine,Alat kontrasepsi yang terdiri dari gulungan yang ditempatkan di dalam rahim untuk memblokir implantasi sel telur yang te
intravascular stent,Stent ditempatkan di dalam pembuluh darah untuk memungkinkan darah mengalir dengan bebas.
intravenous (IV) {intravenoso (IV)},Diberikan melalui tabung ke pembuluh darah.
introitus {introito},"Bukaan luar atau pintu masuk ke organ berlubang, seperti vagina."
intussusception,Prolaps atau kolapsnya bagian usus ke bagian sekitarnya. Satu bagian runtuh ke bagian lain seperti teleskop.
invasive,Menyusupi organ lain; menyebar.
iodine,Zat yang digunakan dalam radiofarmasi untuk media kontras dan terapi radiasi.
ion,Partikel bermuatan positif digunakan untuk mengionisasi jaringan.
ionize,Untuk menghancurkan sel dengan mengubah partikel netral menjadi ion menggunakan sinar-x.
iridectomy {iridectomía},Pengangkatan sebagian iris.
iridotomy,Insisi pada iris untuk mengurangi tekanan.
iris {iris},Bagian mata yang berwarna; berisi otot yang mengembang dan berkontraksi sebagai respons terhadap cahaya.
iritis {iritis},Radang iris.
irradiated,Diobati dengan radiasi.
ischemia {isquemia},Insufisiensi darah terlokalisasi yang disebabkan oleh obstruksi.
ischium {isquión},Satu dari tiga tulang menyatu yang membentuk korset panggul.
islets of Langerhans,Sel khusus di pankreas yang melepaskan insulin dan glukagon.
isthmus {istmo},Daerah sempit di bagian bawah rahim yang membuka ke dalam leher rahim; pita jaringan sempit yang menghubungkan dua lobus
jaundice {ictericia},Bilirubin yang berlebihan dalam darah menyebabkan kulit menguning.
jejunum {yeyuno},Bagian tengah usus kecil.
joint {empalme},Tempat menyambung antara dua tulang atau lebih.
Kaposi's sarcoma,Kanker kulit yang berhubungan dengan AIDS.
Kegel,Latihan untuk memperkuat otot kemaluan.
keloid {queloide},Bekas luka tebal pada kulit yang terbentuk setelah cedera atau pembedahan.
keratin {queratina},Protein keras dan terangsang yang membentuk kuku dan rambut.
keratitis {queratitis},Peradangan pada kornea.
keratolytic,Agen yang membantu menghilangkan kutil dan jagung.
keratoplasty {queratoplastia},Transplantasi kornea.
keratosis {queratosis},Lesi pada bagian epidermis mengandung keratin.
ketoacidosis {cetoacidosis},Kondisi kadar asam tinggi yang disebabkan oleh pelepasan keton yang tidak normal di dalam tubuh.
ketone {cetona},Zat yang dihasilkan dari pemecahan lemak; menunjukkan diabetes atau kelaparan saat ada dalam urin.
ketonuria {cetonuria},"Peningkatan ekskresi keton melalui urin, biasanya mengindikasikan diabetes atau kelaparan."
ketosis {cetosis},Kondisi yang disebabkan oleh pelepasan keton yang tidak normal di dalam tubuh.
kidney {riñón},Organ yang membentuk urin dan menyerap kembali zat-zat penting ke dalam aliran darah.
kyphosis {cifosis},Kelengkungan tulang belakang posterior yang abnormal.
labia majora,Dua lipatan kulit yang membentuk batas vulva.
labia minora,Dua lipatan kulit di antara labia majora.
labor,Proses mengeluarkan janin dan plasenta dari rahim.
labyrinthitis {laberintitis},Peradangan labirin.
lacrimal,Tulang wajah tipis dan rata.
lacrimal glands,Kelenjar yang mengeluarkan cairan untuk melembabkan mata dan menghasilkan air mata.
lacrimation {lagrimeo},"Sekresi air mata, biasanya berlebihan."
lactation {lactación},Produksi susu dari payudara setelah melahirkan.
lactiferous {lactifero},Memproduksi susu.
"lamina (pl., laminae) {lámina}",Bagian datar yang tipis dari kedua sisi lengkung vertebra.
laminectomy,Penghapusan bagian dari diskus intervertebralis.
laparoscopy {laparoscopia},Penggunaan instrumen tubular berlampu yang dimasukkan melalui pusar wanita untuk melakukan ligasi tuba atau untuk memeri
large intestine,"Lintasan di saluran usus untuk limbah yang diterima dari usus kecil untuk dikeluarkan melalui anus; juga, tempat terjadi"
laryngectomy,Pengangkatan laring.
laryngitis {laringitis},Peradangan pada laring.
laryngocentesis,Tusukan bedah pada laring.
laryngopharynx,Bagian faring di bawah dan di belakang laring.
laryngoplasty {laringoplastia},Perbaikan laring.
laryngoscopy {laringoscopia},Pemeriksaan visual mulut dan laring menggunakan endoskopi.
laryngospasm,"Kontraksi tiba-tiba pada laring, yang dapat menyebabkan batuk dan membatasi pernapasan."
laryngostomy {laringostomía},Penciptaan bukaan buatan di laring.
laryngotracheobronchitis,"Peradangan pada laring, trakea, dan bronkus."
laryngotracheotomy,Insisi ke laring dan trakea.
larynx {laringe},"Organ produksi suara di saluran pernapasan, antara faring dan trakea; kotak suara."
lateral,Ke samping.
lateral incisor,Gigi kedua dari median garis rahang.
lateral plane,Garis imajiner yang membagi tubuh secara tegak lurus dengan bidang medial.
laxative,Agen yang mendorong usus untuk bergerak untuk meredakan sembelit.
left atrium,Bilik jantung kiri atas.
left lower quadrant,Kuadran di sisi kiri bawah anterior tubuh pasien.
left upper quadrant,Kuadran di sisi kiri atas anterior tubuh pasien.
left ventricle,Ruang jantung kiri bawah.
leiomyoma,Tumor jinak otot polos.
leiomyosarcoma,Tumor ganas otot polos.
"lens {lens, lente}",Tubuh transparan tak berwarna dan fleksibel di belakang iris.
lesion {lesión},"Luka, kerusakan, atau cedera pada kulit."
leukemia,Istilah umum untuk sejumlah kelainan dengan sel darah putih yang berlebihan pada aliran darah dan sumsum tulang.
leukocyte,Sel darah putih dewasa.
leukoderma {leucoderma},Tidak adanya pigmen di kulit atau di suatu area kulit.
leukoplakia {leucoplaquia},Bercak putih selaput lendir di lidah atau pipi.
leukorrhea {leucorrea},Keputihan yang tidak normal; biasanya keputihan.
ligament {ligamento},Lembaran jaringan fibrosa yang menghubungkan dan mendukung tulang; menempelkan tulang ke tulang.
lingual tonsils,Dua gundukan jaringan getah bening di belakang lidah.
lipase {lipasa},Enzim yang terkandung dalam jus pankreas.
lipid profile,"Tes laboratorium yang memberikan kadar lipid, trigliserida, dan zat lain dalam darah."
lipid-lowering,Bermanfaat dalam menurunkan kadar kolesterol.
lips {labio},Dua lipatan otot terbentuk di sekitar batas luar mulut.
lithotomy,Operasi pengangkatan batu kandung kemih.
liver {hígado},Organ penting dalam fungsi pencernaan dan metabolisme; mengeluarkan empedu.
liver biopsy,Pengangkatan sejumlah kecil jaringan hati untuk memeriksa penyakit.
lobectomy {lobectomía},1. Pengangkatan salah satu lobus paru. 2. Pengangkatan sebagian otak untuk mengobati gangguan tertentu.
lobotomy {lobotomía},Sayatan ke dalam lobus frontal otak.
long bone,Setiap tulang ekstremitas dengan poros.
lordosis {lordosis},Kelengkungan tulang belakang anterior yang abnormal menyebabkan punggung bergoyang.
Lou Gehrig's disease,Lihat sklerosis lateral amiotrofik.
low blood pressure {presión arterial baja},Lihat hipotensi.
lumbar (spinal) puncture,Penarikan cairan serebrospinal dari antara dua vertebra lumbal.
lumbar regions,Daerah kiri dan kanan tubuh dekat perut.
lumbar vertebrae,Lima ruas punggung bawah.
lumen {lumen},Saluran di dalam arteri tempat darah mengalir.
lumpectomy {nodulectomía},Operasi pengangkatan tumor payudara lokal.
lung {pulmón},Salah satu dari dua organ pernapasan (paru-paru kiri dan paru kanan) di rongga dada tempat oksigenasi darah berlangsung.
"lunula (pl., lunulae) {lúnula}",Area berbentuk setengah bulan di dasar lempeng kuku.
luteinizing hormone (LH),Hormon penting untuk ovulasi; hormon yang dilepaskan untuk membantu pematangan sel telur dan ovulasi.
lymph {linfa},Cairan yang mengandung sel darah putih dan zat lain dan mengalir di pembuluh limfatik.
lymphadenectomy {linfadenectomía},Pengangkatan kelenjar getah bening.
lymphadenopathy {linfadenopatía},Kelenjar getah bening membengkak.
lymphadenotomy,Insisi ke kelenjar getah bening.
lymphatic 7-MYUN] system,"Sistem tubuh yang meliputi getah bening, kelenjar dari sistem limfatik, pembuluh limfatik, dan pertahanan sistem kekebal"
lymph node,Organ khusus yang menghasilkan limfosit dan menyaring zat berbahaya dari jaringan dan membantu respons kekebalan.
lymph node dissection,Pengangkatan nodus kanker untuk pemeriksaan mikroskopis.
lymphocyte {linfocito},Jenis agranulosit; sel darah putih yang dibuat di sumsum tulang yang sangat penting untuk pertahanan tubuh melawan penya
lymphocytic lymphoma,Limfoma dengan sel ganas yang menyerupai limfosit besar.
lymphoma {linfoma},Kanker kelenjar getah bening.
macrocytosis {macrocitosis},Gangguan dengan sel darah merah besar yang tidak normal.
macrophage {macrófago},Sel khusus yang memakan zat asing.
macula {mácula},Struktur telinga bagian dalam mengandung sensor mirip rambut yang bergerak untuk menjaga keseimbangan.
macula lutea,"Area kecil kekuningan terletak di tengah retina, yang memiliki depresi yang disebut fovea centralis."
macular degeneration,Hilangnya penglihatan secara bertahap yang disebabkan oleh degenerasi jaringan di makula.
macule,"Bintik kecil, datar, dan berwarna mencolok di kulit."
magnetic resonance imaging (MRI),Pencitraan dihasilkan dengan melacak sifat magnet di inti berbagai sel.
malaise,Perasaan umum sakit.
malignant,Tumbuh tak terkendali.
malignant melanoma,"Kanker kulit ganas yang berasal dari melanosit, biasanya disebabkan oleh paparan sinar matahari yang berlebihan."
"malleolus (pl., malleoli)",Tonjolan tulang tibia atau fibula yang membulat di kedua sisi pergelangan kaki.
malleus {malleus},Salah satu dari tiga tulang telinga pendengaran; Palu.
malocclusions,Penutupan gigi atas yang tidak normal dalam hubungannya dengan gigi bawah.
mammary glands,"Jaringan kelenjar yang membentuk payudara, yang merespons siklus menstruasi dan kelahiran."
mammography {mamografía},Pencitraan sinar-X payudara sebagai metode skrining kanker.
mammoplasty {mamoplastia},"Operasi plastik untuk merekonstruksi payudara, terutama setelah mastektomi."
mandible {mandíbula},Tulang rahang bawah berbentuk U.
mandibular bone,Rahang bawah.
manic,Memiliki mood yang sangat berbahaya.
manic-depressive disorder,Lihat gangguan bipolar.
manipulative,"Dilakukan tanpa sayatan, seperti pada pengurangan patah tulang."
manipulative therapy,Terapi yang menggunakan manipulasi tubuh untuk merawat pasien.
Mantoux test,Tes tuberkulosis di mana dosis kecil tuberkulin disuntikkan secara intradermal dengan semprit.
marrow {médula},"Jaringan ikat yang mengisi rongga meduler, seringkali kaya akan nutrisi."
mastectomy {mastectomía},Pengangkatan payudara.
mastication {masticación},Mengunyah.
mastitis {mastitis},Radang payudara.
mastoid process,Penonjolan tulang temporal yang berada di belakang telinga.
mastoiditis,Peradangan pada proses mastoid.
mastopexy,Prosedur pembedahan untuk memasang payudara yang kendur pada posisi yang lebih normal.
